name,sity,country
lparker3a,Benešov nad Ploučnicí,Czech Republic
jaustin3b,Majagual,Colombia
jwarren3c,Episkopí,Greece
fgray3d,Senada,Morocco
mblack3e,Xi’an,China
bdean3f,Gaotuo,China
amurphy3g,Toufang,China
snguyen3h,La Ceja,Colombia
hperry3i,São João do Campo,Portugal
jwashington3j,Verkhnyaya Tura,Russia
dromero3k,Gierłoż,Poland
jlopez3l,Congkar,Indonesia
dfields3m,Kilimatinde,Tanzania
jramirez3n,Lingdangge,China
efuller3o,Hampton,United States
hmitchell3p,Strzelce Krajeńskie,Poland
rbanks3q,Zhaojia,China
awashington3r,Akebielidou,China
hlawrence3s,Dalgān,Iran
bwebb3t,Batiano,Philippines
escott3u,Lucheng,China
sburke3v,Galván,Dominican Republic
jhicks3w,Sobral da Adiça,Portugal
kramirez3x,Waihi Beach,New Zealand
rkelly3y,Lianzhou,China
jcarroll3z,Rueil-Malmaison,France
jmoore40,Yangxiang,China
lhill41,Ibitinga,Brazil
jking42,Juršinci,Slovenia
rwood43,Chipinge,Zimbabwe
lgardner44,La Huerta,Mexico
grobertson45,Porkhov,Russia
charrison46,Fasito‘outa,Samoa
rhill47,Norak,Tajikistan
jreid48,Kaga Bandoro,Central African Republic
jsimpson49,Aurillac,France
dmorales4a,Socota,Peru
jwebb4b,Dingqiao,China
fmontgomery4c,Tanggulangin,Indonesia
jcook4d,Oklahoma City,United States
ihoward4e,Jenggawah,Indonesia
hthompson4f,Irkliyevskaya,Russia
lburton4g,Hodoš,Slovenia
rhawkins4h,Polos,Indonesia
ddiaz4i,Zhifang,China
jhudson4j,Água Retorta,Portugal
lsullivan4k,Buga,Mongolia
dboyd4l,Puqi,China
bgreene4m,Olleros,Peru
rbishop4n,Solomenskoye,Russia
btaylor4o,Oranzherei,Russia
jferguson4p,Entradas,Portugal
jbrooks4q,Juḩr ad Dīk,Palestinian Territory
dcruz4r,Cernache do Bonjardim,Portugal
cross4s,Twardawa,Poland
mphillips4t,Hongor,Mongolia
awoods4u,Kisarawe,Tanzania
scoleman4v,Cañada de Gómez,Argentina
amills4w,Ananea,Peru
dfernandez4x,El Marañón,Honduras
fferguson4y,Alilem,Philippines
ngonzalez4z,Igarapava,Brazil
jkelley50,La Paz de Oriente,Nicaragua
jrose51,Yupiltepeque,Guatemala
kfields52,Naschel,Argentina
rparker53,Lisovi Sorochyntsi,Ukraine
sfreeman54,Matsutō,Japan
kfrazier55,Tuanzhou,China
nfowler56,Baikouquan,China
dlopez57,Moreira de Geraz do Lima,Portugal
skennedy58,Bistrinci,Croatia
jbailey59,Pilluana,Peru
bwheeler5a,Shiqian,China
jdiaz5b,Santa Rita,Venezuela
dcole5c,Bandar-e Ganāveh,Iran
jmarshall5d,Mulhouse,France
scollins5e,Zhujiaqiao,China
rstewart5f,Chengguan,China
sboyd5g,Miami,United States
rpeterson5h,Hecun,China
mpierce5i,Sanying,China
dkim5j,Ilopango,El Salvador
jperry5k,Vangaindrano,Madagascar
bromero5l,Guanshui,China
bnelson5m,Espinheira,Portugal
fwright5n,Nurlat,Russia
kflores5o,Quintong,Philippines
dtorres5p,Pittsburgh,United States
tpeterson5q,Volary,Czech Republic
jhudson5r,Port Saint Lucie,United States
jcarr5s,Cihaur,Indonesia
aking5t,Baylo,Philippines
jreyes5u,Stockholm,Sweden
amartinez5v,São Domingos,Cape Verde
cwright5w,Liugong,China
rhamilton5x,Logan Lake,Canada
rsanchez5y,Boca Chica,Dominican Republic
rfrazier5z,Muff,Ireland
sbailey60,Hrvatini,Slovenia
amitchell61,Tomarovka,Russia
tcole62,Podhum,Bosnia and Herzegovina
areed63,Shreveport,United States
lowens64,Yanling,China
krichards65,Beylagan,Azerbaijan
jhamilton66,North Shore,New Zealand
slopez67,San Nicolas,Philippines
krogers68,Jiuli,China
rreynolds69,Quintães,Portugal
bmurray6a,Tegalheras,Indonesia
lmorgan6b,Niopanda,Indonesia
rfields6c,Longgang,China
cschmidt6d,Petrovskaya,Russia
dortiz6e,Emiliano Zapata,Mexico
agordon6f,Zizhao,China
dfreeman6g,Fengcheng,China
jjohnson6h,Baruunturuun,Mongolia
jwallace6i,Birigui,Brazil
vford6j,Venilale,East Timor
wkelley6k,Kebonkai,Indonesia
aortiz6l,Famões,Portugal
jwoods6m,Baon,Philippines
ccarroll6n,Panadura,Sri Lanka
jmorales6o,Dawan,China
erogers6p,Balung Barat,Indonesia
tmendoza6q,Wunat,Indonesia
tdiaz6r,Juli,Peru
akim6s,Buniaga,Indonesia
mfoster6t,Skarżysko-Kamienna,Poland
kwood6u,Borova,Ukraine
lwatkins6v,Xuyong,China
pbutler6w,El Refugio,Mexico
mryan6x,Bacnar,Philippines
nreynolds6y,Kericho,Kenya
cwhite6z,Khilok,Russia
kreynolds70,São Mateus,Portugal
elynch71,Choco,Peru
tmartinez72,Radā‘,Yemen
jhenderson73,Villeneuve-d'Ascq,France
tchavez74,Dacun,China
dmorrison75,Libertador General San Martín,Argentina
lwallace76,Montreuil,France
bduncan77,Isheyevka,Russia
jcollins78,Żyraków,Poland
rpowell79,Nanshi,China
cmartinez7a,Stizhkivs’ke,Ukraine
lstanley7b,Vodnyy,Russia
phowell7c,Mysove,Ukraine
rgardner7d,Pandian,Indonesia
jmartinez7e,Norabats’,Armenia
mwatson7f,Beixiaoying,China
esmith7g,Montecristi,Ecuador
hgonzalez7h,Hepu,China
ddunn7i,Arys,Kazakhstan
rhudson7j,Pukou,China
mgomez7k,Frolovo,Russia
jgibson7l,El Rosario,Nicaragua
rbanks7m,Miami,United States
rcook7n,Kuantian,China
jwhite7o,San Juan,Argentina
mmorgan7p,Wolonio,Indonesia
kwoods7q,Đoan Hùng,Vietnam
relliott7r,Sobreira,Portugal
sjenkins7s,Ornontowice,Poland
jwelch7t,Thaba Nchu,South Africa
btaylor7u,Sedandang,Indonesia
jmitchell7v,Jiaodai,China
jmarshall7w,Novyy Karachay,Russia
sblack7x,Noisy-le-Grand,France
speterson7y,Miryang,South Korea
rromero7z,Nanaimo,Canada
jbaker80,Kirkop,Malta
smontgomery81,Malaba,Kenya
vgarrett82,Sunchales,Argentina
aphillips83,Coja,Portugal
jkennedy84,Roi Et,Thailand
crice85,Gunziying,China
lpeterson86,‘Abs,Yemen
bmccoy87,Banjaranyar,Indonesia
tpayne88,Phoenix,United States
sclark89,Tembeling,Indonesia
jsanders8a,Kunda,Estonia
jpeterson8b,Qionghai,China
kgilbert8c,Guadalupe,Mexico
rjones8d,La Cruz,Costa Rica
isims8e,Krebetkrajan,Indonesia
aanderson8f,Mursaba,Indonesia
jgutierrez8g,Vegreville,Canada
drivera8h,Coripata,Bolivia
edunn8i,Dijon,France
gstone8j,Sai,Indonesia
asanchez8k,Ariguaní,Colombia
whill8l,Salvacion,Philippines
tjohnston8m,Kama,Russia
agarcia8n,Mendeleyevskiy,Russia
lharvey8o,Bogorodsk,Russia
jwest8p,Mueang Nonthaburi,Thailand
drose8q,Lincheng,China
wdixon8r,Kalinovo,Russia
bray8s,Usuki,Japan
darmstrong8t,Hongshan,China
amontgomery8u,Krasnotorka,Ukraine
rgomez8v,Cabugao,Philippines
jjordan8w,Lai Cách,Vietnam
dhunt8x,Mor Laok,Indonesia
tlong8y,Tufang,China
acarroll8z,Thạnh Hóa,Vietnam
scastillo90,Krajan Bakalan,Indonesia
rryan91,Passagem,Portugal
rsims92,Niuzhuang,China
jbell93,Sunjia,China
jaustin94,Castañas,Philippines
bwillis95,Zhongxiao,China
nmeyer96,Montréal-Ouest,Canada
jcampbell97,Fort Wayne,United States
malexander98,Barusuda,Indonesia
dbowman99,Gongbuxue,China
jsanders9a,Naschel,Argentina
narmstrong9b,Aksu,Kazakhstan
cjames9c,Korhogo,Ivory Coast
htorres9d,Ayteke Bi,Kazakhstan
cperez9e,Ḩawallī,Kuwait
pbaker9f,Ribeirão Pires,Brazil
sellis9g,Västervik,Sweden
jwood9h,Troyes,France
aruiz9i,Huangcun,China
psnyder9j,Okayama-shi,Japan
jnelson9k,Albrechtice,Czech Republic
cnichols9l,Piraju,Brazil
rdiaz9m,Champaign,United States
cbradley9n,Balung,Indonesia
dgutierrez9o,Tivat,Montenegro
aryan9p,Ornontowice,Poland
wtucker9q,Derzhavīnsk,Kazakhstan
bcole9r,Zhongshangang,China
truiz9s,Changping,China
nrice9t,La Libertad,Honduras
harnold9u,San Martín,Colombia
sstevens9v,Montpellier,France
mmartin9w,Rio,Portugal
lmartinez9x,General San Martín,Argentina
rbowman9y,Manggis,Indonesia
aholmes9z,Kediri,Indonesia
tpattersona0,Bylym,Russia
wsancheza1,Sumberpandan,Indonesia
ahuntera2,Villa Mercedes,Argentina
rkinga3,Zhaizigou,China
ccoopera4,Kuasha,China
lcoopera5,Qīr Moāv,Jordan
cfloresa6,Eucaliptus,Bolivia
psnydera7,Chenghuang,China
wellisa8,Przyborów,Poland
nschmidta9,Xiaojie,China
abellaa,Cova Figueira,Cape Verde
rmorrisab,Lipin Bor,Russia
dburkeac,Cabrela,Portugal
ljohnstonad,Ariguaní,Colombia
mnelsonae,Daxi,China
rknightaf,Koh Kong,Cambodia
sbanksag,Tougan,Burkina Faso
bshawah,Svetlyy Yar,Russia
lhernandezai,Los Ángeles,Chile
ewallaceaj,Syanno,Belarus
cgrantak,Yesan,South Korea
rpetersonal,Jiwuwu,Indonesia
sgordonam,Lintaca,Bolivia
lwoodan,Sandaotong,China
dholmesao,Boshan,China
rsimpsonap,Hezhang,China
galexanderaq,Stockholm,Sweden
emoralesar,Izumo,Japan
dwallaceas,Kivertsi,Ukraine
rmillsat,Saint-Félicien,Canada
emurrayau,Upernavik,Greenland
dwilliamsav,Jianxi,China
ckennedyaw,Bayuwan,Indonesia
ldixonax,Vanves,France
ewarday,Sahatsakhan,Thailand
cwheeleraz,Polo,Philippines
ggibsonb0,Erdao,China
rdayb1,Mełgiew,Poland
khunterb2,Timur,Indonesia
wfrazierb3,Pār Naogaon,Bangladesh
ablackb4,Inowrocław,Poland
nallenb5,Az Zarqā,Egypt
jhowellb6,Terjan,Indonesia
bandrewsb7,Luziânia,Brazil
estephensb8,Ostroměř,Czech Republic
rhansonb9,Herne,Germany
dpetersba,Bajo,Indonesia
llanebb,Cruz,Portugal
aporterbc,Jivia,Peru
rwatkinsbd,Gandoang,Indonesia
tmoorebe,Ashgabat,Turkmenistan
dhudsonbf,Crauthem,Luxembourg
dmillerbg,Shijiao,China
jwelchbh,Lhabupu,China
amorenobi,Ciodeng,Indonesia
cfranklinbj,Chvaletice,Czech Republic
lrussellbk,Kushk,Afghanistan
kbutlerbl,Abóboda,Portugal
blongbm,Mbalmayo,Cameroon
swashingtonbn,Bungsuan,Philippines
dchapmanbo,Mendeleyevskiy,Russia
greedbp,Mtambile,Tanzania
lsandersbq,Niigata-shi,Japan
dgreenbr,Dingchang,China
sharrisonbs,Mýrina,Greece
pgordonbt,Daji,China
sblackbu,Bicesse,Portugal
fcampbellbv,Kolbuszowa,Poland
bmorenobw,Saidpur,Bangladesh
bdeanbx,Puutura,Indonesia
aberryby,Zhishan,China
bmccoybz,Głogów Małopolski,Poland
aspencerc0,Zebrzydowice,Poland
rrogersc1,Mazhu,China
sruizc2,Guáimaro,Cuba
clewisc3,Le Kremlin-Bicêtre,France
crobertsonc4,Cueto,Cuba
rhamiltonc5,Calheta,Cape Verde
nclarkc6,Telč,Czech Republic
amoralesc7,Kokterek,Kazakhstan
varmstrongc8,Vladivostok,Russia
pstevensc9,Kotovo,Russia
dperkinsca,Normanton,United Kingdom
dgrahamcb,Baiguo,China
bstevenscc,Zhongchao,China
rwellscd,Novyy Nekouz,Russia
trogersce,Saguenay,Canada
volsoncf,Siqian,China
relliscg,Dolega District,Panama
bjohnstonch,Yancheng,China
jperkinsci,Koryčany,Czech Republic
esanchezcj,Žeravice,Czech Republic
hcarpenterck,At Taḩālif,Yemen
gwallacecl,Zhanghua,China
kbishopcm,Sanshan,China
rgrahamcn,Caxias,Brazil
pgarciaco,Murmuiža,Latvia
tgeorgecp,Changzhou,China
mgraycq,Raškovice,Czech Republic
rjamescr,Banjar Medura,Indonesia
jmorriscs,Sugiharjo,Indonesia
creyesct,Shīrvān,Iran
bpalmercu,Cileuya,Indonesia
gcarrollcv,Hukvaldy,Czech Republic
clawrencecw,Nový Malín,Czech Republic
lflorescx,Merton,United Kingdom
bstewartcy,Margos,Philippines
hharveycz,Pawili,Philippines
sbarnesd0,Clervaux,Luxembourg
rcookd1,Palikir - National Government Center,Micronesia
ewilliamsond2,Russkaya Polyana,Russia
cmendozad3,Zhangzhishan,China
rhayesd4,Lemahputih,Indonesia
jburtond5,Randusari,Indonesia
awebbd6,Aleksandrovac,Serbia
dturnerd7,Chơn Thành,Vietnam
jdiazd8,Ob’,Russia
awoodsd9,Xuebu,China
amatthewsda,Koufália,Greece
tsimsdb,Zwolle,Netherlands
thudsondc,Smyga,Ukraine
erossdd,Vila Nova,Portugal
ewelchde,Khasavyurt,Russia
hrobinsondf,Botigues,Philippines
kevansdg,Rattanaburi,Thailand
imeyerdh,Javhlant,Mongolia
dfreemandi,Göteborg,Sweden
tlarsondj,Hondo Valle,Dominican Republic
csnyderdk,Vardenik,Armenia
afloresdl,Blatnica,Bosnia and Herzegovina
tjamesdm,Chengbei,China
kphillipsdn,Kaeng Khoi,Thailand
jlopezdo,Quaraí,Brazil
sgilbertdp,Torbeck,Haiti
scookdq,Carlton,United Kingdom
bbrooksdr,Shilong,China
cgrahamds,Pedro Santana,Dominican Republic
dgutierrezdt,Áno Liósia,Greece
bhamiltondu,Wādī as Sīr,Jordan
areynoldsdv,Baita,China
kbowmandw,Tukuyu,Tanzania
rrogersdx,Libmanan,Philippines
pgordondy,Tecpán Guatemala,Guatemala
jlanedz,Santong,Indonesia
bboyde0,Cantapoy,Philippines
cbowmane1,Tygda,Russia
agarrette2,East End,Cayman Islands
dcrawforde3,Santa Rosa,Argentina
jcolee4,Buenos Aires,Argentina
jnelsone5,L'Épiphanie,Canada
sberrye6,Orissaare,Estonia
jgardnere7,Qingshui,China
gfreemane8,Jiachuan,China
bwallacee9,Ordino,Andorra
bowensea,Huata,Peru
ffostereb,Jinan,China
dperezec,Borgo Maggiore,San Marino
lsmithed,Jakubów,Poland
jwilliamsee,Kinango,Kenya
jrichardsef,Nijmegen,Netherlands
cgreeneeg,Estância Velha,Brazil
ggreeneeh,Raofeng,China
cnicholsei,Bagu,Indonesia
agomezej,Dateng,Indonesia
nmatthewsek,Dana,China
dgordonel,Jingnao,China
lbakerem,Birmingham,United Kingdom
phillen,Qilong,China
bmooreeo,Otradnaya,Russia
mnelsonep,Xibin,China
lmedinaeq,Pasirbitung,Indonesia
kfrazierer,Pyapon,Myanmar
lbelles,Puerto Natales,Chile
lcastilloet,Adzopé,Ivory Coast
parnoldeu,Xueshan,China
msandersev,Benisheikh,Nigeria
aallenew,Talisay,Philippines
jryanex,Sarāqib,Syria
jfernandezey,Barusuda,Indonesia
lthompsonez,Boljoon,Philippines
ltuckerf0,Budva,Montenegro
cmoralesf1,Bartica,Guyana
ewagnerf2,Soriano,Uruguay
jdayf3,Vysokogornyy,Russia
cmeyerf4,Połajewo,Poland
dcookf5,Losevo,Russia
crayf6,Bang Rakam,Thailand
kstonef7,Manzanares,Colombia
vandrewsf8,Blainville,Canada
bsanchezf9,Nanae,Japan
rperryfa,Colares,Portugal
dcarterfb,Lanxi,China
tmartinfc,Karjalohja,Finland
wcampbellfd,Nueva Arica,Peru
tcarpenterfe,Cruz,Portugal
jgarzaff,Pabuaran,Indonesia
ajacksonfg,Gaoqiao,China
hmartinfh,Karvia,Finland
mharrisonfi,Manzanares,Colombia
sgibsonfj,Qincheng,China
jstevensfk,Xiyang,China
hharveyfl,Enjitsu,South Korea
jandrewsfm,Huyang,China
jhughesfn,La Maná,Ecuador
jmontgomeryfo,Changsha,China
aandersonfp,Haodi,China
jmedinafq,Vakhsh,Tajikistan
nandersonfr,Taiyuan,China
aruizfs,Litan,China
mfosterft,Yuwang,China
efrazierfu,Guisa,Cuba
mleefv,Cajamar,Brazil
cweaverfw,Taohuajiang,China
mwilliamsfx,Sotouboua,Togo
dweaverfy,Nanchangshan,China
ssimsfz,Xiangba,China
rgarzag0,Naili,Philippines
lhanseng1,Cincinnati,United States
ggardnerg2,Zwettl,Austria
priceg3,Yuzhai,China
kalleng4,Kalininskiy,Russia
bpetersong5,Huili Chengguanzhen,China
cgibsong6,Sokol,Russia
jmoralesg7,Xin’an,China
rfernandezg8,Yulin,China
apalmerg9,Xianxi,China
haustinga,Tawau,Malaysia
mcookgb,Jintun,China
salexandergc,Loivos,Portugal
shansongd,Chisong,China
npricege,Pasirangin Tiga,Indonesia
wrileygf,Xiaoduchuan,China
kpricegg,Mekkaw,Nigeria
ajohnsongh,Vlachovo Březí,Czech Republic
larmstronggi,Pertunmaa,Finland
jandrewsgj,Non Suwan,Thailand
pfernandezgk,Savonlinna,Finland
wdavisgl,General Ramírez,Argentina
rortizgm,Boissy-Saint-Léger,France
jjohnstongn,Chisong,China
rgordongo,Mira,Portugal
scruzgp,Sayḩūt,Yemen
rpricegq,Puerto Morazán,Nicaragua
jthompsongr,Nurmijärvi,Finland
vellisgs,Nioro du Rip,Senegal
tpiercegt,Alburitel,Portugal
mlonggu,Fresno,Colombia
gdanielsgv,Paulínia,Brazil
echavezgw,Suban,China
tsanchezgx,Ózd,Hungary
srichardsgy,Hepo,China
jwoodgz,Pacho,Colombia
smorrisonh0,Saint Louis,United States
jwallaceh1,Qal‘ah-ye Shāhī,Afghanistan
tfloresh2,Boršice,Czech Republic
jgonzalezh3,Puro Pinget,Philippines
hlawrenceh4,Azogues,Ecuador
kalexanderh5,Grodzisk Mazowiecki,Poland
npriceh6,Mekon,Indonesia
kruizh7,Querobamba,Peru
efieldsh8,Battle Creek,United States
cpalmerh9,Fuling,China
abryantha,Sasebo,Japan
cgordonhb,Göteborg,Sweden
ahickshc,Youngstown,United States
csullivanhd,Zagórnik,Poland
hgomezhe,Saint-Malo,France
bkinghf,Kalininskiy,Russia
phickshg,Manna,Indonesia
jryanhh,Butwāl,Nepal
gromerohi,Jinanten,Indonesia
kfoxhj,Chengmagang,China
wnguyenhk,Bueng Khong Long,Thailand
rolsonhl,Huai Yot,Thailand
jhendersonhm,Miskindzha,Russia
dricehn,Kněžpole,Czech Republic
bwhiteho,Calangain,Philippines
dcarterhp,Chengkou,China
rmitchellhq,Roches Noire,Mauritius
areidhr,Leppävirta,Finland
rfullerhs,Rasony,Belarus
mcunninghamht,Baranovichi,Belarus
tmedinahu,Shima,China
rlittlehv,Niquelândia,Brazil
wthompsonhw,Saint-Brieuc,France
acarterhx,Wuyang,China
ewallacehy,Vaiamonte,Portugal
aharperhz,Dingyan,China
jalexanderi0,Åmål,Sweden
mfernandezi1,Heishui,China
smartinezi2,Bang Lamung,Thailand
nwhitei3,Senhor da Serra,Portugal
amcdonaldi4,Cisiih,Indonesia
wromeroi5,Linshi,China
ncolei6,Alor Star,Malaysia
bfreemani7,Sainte-Sophie,Canada
pwebbi8,Dawu Chengguanzhen,China
mgrayi9,São Marcos,Brazil
mtorresia,Orléans,France
rwheelerib,Tanahwulan,Indonesia
ejamesic,Nowy Staw,Poland
lwatsonid,Handaqi,China
brossie,Almirante Tamandaré,Brazil
vsimmonsif,Afonsoeiro,Portugal
mjonesig,Brisbane,Australia
ghawkinsih,Burnaby,Canada
brileyii,São Raimundo Nonato,Brazil
vtuckerij,Trindade,Brazil
bwelchik,Santa Rosa,Argentina
rbutleril,Hushi,China
esimmonsim,Jingping,China
jmorganin,Carolina,South Africa
nwillisio,Kalibo (poblacion),Philippines
mmendozaip,Lugu,China
pburnsiq,Jirny,Czech Republic
rellisir,Jiuchi,China
dortizis,Paccha,Peru
wnicholsit,Jiashan,China
rfrankliniu,Wien,Austria
amorganiv,Detusoko,Indonesia
dchaveziw,Dijon,France
anguyenix,Hénin-Beaumont,France
fholmesiy,Kombolcha,Ethiopia
mcastilloiz,Achadinha,Portugal
creyesj0,Shuihu,China
eblackj1,Naples,United States
mwalkerj2,Ajoyani,Peru
jlewisj3,Bhopālwāla,Pakistan
rlanej4,Byczyna,Poland
jchapmanj5,Kabūdarāhang,Iran
flopezj6,Macachín,Argentina
cgutierrezj7,Vostryakovo,Russia
jbrooksj8,Kuncen,Indonesia
agordonj9,Zhiqu,China
cwestja,Norberg,Sweden
bchapmanjb,Sinargalih,Indonesia
jmyersjc,Leleque,Argentina
jbarnesjd,Aeka,Indonesia
sclarkje,Kowŏn-ŭp,North Korea
dmyersjf,Bílovec,Czech Republic
sknightjg,Slovenski Javornik,Slovenia
hfieldsjh,Bosaso,Somalia
hcooperji,Kongjiang,China
lwoodsjj,Gareba,Indonesia
cgarrettjk,Embi,Kazakhstan
phowelljl,Shicheng,China
sharveyjm,Cikalang,Indonesia
kbrooksjn,Gaotian,China
erobertsjo,Ozerki,Russia
krayjp,Ribeirão da Ilha,Brazil
jthompsonjq,Yahotyn,Ukraine
rmartinezjr,Cipicung Timur,Indonesia
jreyesjs,Bilar,Philippines
psmithjt,Marādah,Libya
rwashingtonju,Molde,Norway
ghawkinsjv,Āshkhāneh,Iran
pperezjw,Xinzhai,China
cwrightjx,Popayán,Colombia
tjacobsjy,Myhiya,Ukraine
pharveyjz,Zachepylivka,Ukraine
ladamsk0,Mainz,Germany
ericek1,Yezhou,China
rlanek2,Puro,Philippines
irogersk3,Pruchnik,Poland
jriverak4,Dongzha,China
bburnsk5,Basista,Philippines
cgonzalezk6,Thul,Pakistan
agarciak7,Slavyanovo,Bulgaria
nolsonk8,Tampa,United States
scolemank9,Dumlan,Philippines
eowenska,San Francisco,Mexico
jlewiskb,Próchoma,Greece
rmorgankc,Tomakivka,Ukraine
kjordankd,Hamburg,Germany
bwestke,Weicheng,China
bwilsonkf,Digkilaan,Philippines
ccarterkg,Šluknov,Czech Republic
rfowlerkh,Bagikkedok Lauk,Indonesia
acollinski,Talangnan,Philippines
agrantkj,Guimarei,Portugal
cmurraykk,Formosa do Rio Preto,Brazil
lgarzakl,Klerksdorp,South Africa
swrightkm,Victoriaville,Canada
rwoodskn,Winter Haven,United States
gcarrollko,Xia Dawo,China
kgordonkp,Tamorot,Morocco
jmarshallkq,Fonte do Feto,Portugal
apetersonkr,Ucuncha,Peru
achavezks,Charlton,United Kingdom
gcarpenterkt,Qiaolin,China
lcookku,Chalandrítsa,Greece
plarsonkv,Hyżne,Poland
pharveykw,Arazane,Morocco
rolsonkx,Sanfang,China
dlarsonky,Dondar Quşçu,Azerbaijan
cyoungkz,Mae Wang,Thailand
lharrisonl0,Banjar Paangkelod,Indonesia
sromerol1,Prévost,Canada
karnoldl2,Nagrak,Indonesia
slopezl3,Jiamaying,China
ejonesl4,Bīr Zayt,Palestinian Territory
crobertsl5,Strömsund,Sweden
amyersl6,Norrköping,Sweden
rlewisl7,Chengjiao,China
creyesl8,Or Yehuda,Israel
dramirezl9,Mazkeret Batya,Israel
jgrahamla,Stockholm,Sweden
clanelb,Starigrad,Croatia
whowelllc,Sousse,Tunisia
mgonzalesld,Sundsvall,Sweden
hcolemanle,Naro-Fominsk,Russia
bhunterlf,Nanying,China
dgardnerlg,Thompson,Canada
jnicholslh,Machachi,Ecuador
emyersli,Emporeío,Greece
tyounglj,Yunxi,China
mfoxlk,Vuzenica,Slovenia
jgordonll,Glan,Philippines
dcolemanlm,Parintins,Brazil
lnelsonln,Drakino,Russia
pbakerlo,Tabuc Pontevedra,Philippines
jgriffinlp,Yutsa,Russia
fpetersonlq,Krasnyy Lyman,Ukraine
mwilliamslr,Paucarcolla,Peru
dlopezls,Tumba,China
cgeorgelt,Västra Frölunda,Sweden
dshawlu,Ngelak,Indonesia
